gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV20,LV21,LV22,LV23,LV24,LV25,LV26,LV27,LV28,LV29,LV30
EMP1,0.017155610200376942,0.0,0.0,0.0,0.17303132191597356,0.0,0.1306631092894075,0.04216044181413353,0.0,0.0,0.1270744798890155,0.05313617270710087,0.07779171438985945,0.0,0.002390804911335487,0.14382666415673792,0.0,0.09068099488938308,0.0,0.11125212104685016,0.23053885757934298,0.0,0.0,0.10954220778001555,0.03362906665806581,0.047984427303225635,0.07451166914863101,0.0,0.0,0.0
ETS2,0.0,0.2128636260784064,0.0,0.0,0.0,0.0,0.08995156684725877,0.023890129361108493,0.05645864157999298,0.23189871434437734,0.0,0.0,0.0010181094318107017,0.0,0.0,0.0,0.04784048784871815,0.09383485973767294,0.07319775289807884,0.005982417328321548,0.0,0.05434351843604968,0.0,0.0,0.0,0.0,0.0,0.02395345126413828,0.004620479993296277,0.0
GPX3,0.06002076321099127,0.04648744799911035,0.0,0.030021418641958366,0.0,0.0,0.0,0.0,0.027815014624101932,0.0,0.012995984616089844,0.04688525669886069,0.042008866562665254,0.12064843902196541,0.07188329845023315,0.0,0.0,0.1568002180867879,0.0,0.1233574508104179,0.0,0.1188521607523233,0.12469989569967051,0.19268366896138847,0.05750719573571432,0.0,0.0,0.07433166351855092,0.0,0.0
CST3,0.0,0.0,0.0,0.0,0.28052870884655184,0.0,0.0,0.0,0.0,0.0,0.0,0.0818958508512987,0.0,0.060493076286698616,0.06074762005272129,0.0,0.04185939931363803,0.0,0.04563402485590744,0.039758827355441756,0.026156452692610608,0.0,0.18740456555613194,0.01363875111017653,0.013957429420197526,0.01234653363057175,0.05673060920211689,0.012102883357975323,0.0,0.06639309286197013
COL6A3,0.2159580479156133,0.0,0.0,0.0094459604392623,0.0,0.09899011226292306,0.0,0.022878832513042423,0.0,0.013667745014456563,0.0,0.00010793592926657787,0.017450209852359285,0.057713680792733396,0.0,0.005158048465923783,0.0,0.0,0.0,0.1823005290167645,0.0,0.0,0.0,0.03932568145625516,0.0,0.0701154057664619,0.0,0.2174713826975955,0.11827482750281258,0.10368531610796317
PPIF,0.0,0.15165518966336386,0.004838847650091566,0.0,0.0,0.003189591870999673,0.0,0.0,0.06299661756224656,0.03674144894795822,0.0,0.09668262612085797,0.0,0.00487102275190194,0.0,0.0,0.0690829535321501,0.12482937551859734,0.047036480729710645,0.0,0.0,0.0,0.15381057393918554,0.015927116444002312,0.0,0.0,0.0,0.03232744594928604,0.0,0.0
TGFBI,0.0,0.0,0.0,0.08278910304401457,0.41037734144407534,0.0,0.11043140632885161,0.052859650320576955,0.020764319510313194,0.0,0.0,0.0,0.0,0.0,0.0003996466601522672,0.0,0.0,0.029366479687099125,0.0,0.0,0.032051499850276194,0.039403956211024,0.022023879478377296,0.04519367576743303,0.0,0.06415442600852737,0.03522351920595836,0.0,0.10624974466583777,0.0
IGFBP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08381630399422935,0.07622217588543816,0.1193116833461212,0.019713297990485868,0.05440940868674704,0.07302001357763939,0.0,0.052559225112642896,0.07502771501087024,0.031916065958355624,0.0,0.0031348824177939868,0.04309718898494037,0.05159776152668852,0.0,0.12493012037410063,0.0,0.13683703816472512,0.0,0.03978065832386961,0.10296299300963661,0.0,0.11978000518577304
GRSF1,0.0,0.0,0.0,0.0,0.07600955116517986,0.0,0.19840650200241483,0.0,0.058113306851825794,0.0,0.0,0.0,0.0,0.021992726934264763,0.027024604110624906,0.10373353351544051,0.0,0.0,0.0,0.0,0.056570013174964226,0.0,0.12253184392187617,0.0,0.04482455310047731,0.03134181524246312,0.0,0.0,0.02511873489899981,0.19737996673592126
DUSP3,0.0012927841525013143,0.07561775306568694,0.0,0.1529744783506347,0.36985573268895505,0.0,0.0,0.12378199891535228,0.0,0.162550390669897,0.0,0.0,0.0,0.0,0.03465525001626581,0.0,0.0018894356861817606,0.0,0.0,0.0,0.01995985729242755,0.05550790565034256,0.03270457019234041,0.0,0.0,0.052518811423048435,0.14527179700300194,0.018322804251927578,0.048271526852117094,0.0
